fid,X,Y,area_no,name,type,era,year,place_1,place_2,detail,note_1,note_2,note_3,area,surveyed,description,photo,public_relations,confirmed,primary_image,height,width,depth,shape,material,inscription,statue_height,color,contradiction,need_action,status
"12",139.52741111,36.248975,"71",本堂改築記念碑,碑,昭和6年,"1931",栄町,,覚応寺境内,,,,館林,2021/1/4,,@,,TRUE,"14",223,114,12,,,,,,,,
"13",139.528973414,36.2496474958,"174",故二世川村米吉翁の碑,碑,明治44年,"1911",仲町,,観性寺境内,,,,館林,,,,,FALSE,,190,97,95,,,,,,,,
"14",139.5290577637,36.2497651218,"175",川村米吉君の碑,碑,大正11年,"1922",仲町,,観性寺境内,,,,館林,,,,,FALSE,,225,87,13,,,,,,,,
"15",139.53192778,36.24903611,"198",寺門興隆之碑,碑,大正3年,"1914",仲町,,千眼寺境内,,,,館林,2020/11/28,,@,,TRUE,"33",194,89,13,,,,,,,,
"16",139.53235,36.24923611,"201",前町長銅像寄附者の碑,碑,,　,仲町,,中部公民館前,,,,館林,2020/11/28,,@,,TRUE,"37",273,110,18,,,,,,,,
"17",139.53228611,36.24991389,"183",荒井閑窓句碑,碑,大正4年,"1915",仲町,,常光寺境内,,,,館林,2020/11/28,@,@,,TRUE,"38",227,66,12,,,,,,,,
"18",139.53231111,36.24992778,"184",石塚荘次郎君碑,碑,明治41年,"1908",仲町,,常光寺境内,,,,館林,2020/11/28,,@,,TRUE,"41",189,90,15,,,,,,,,
"19",139.5321902369,36.2502394921,"185",横山見左句碑,碑,明治10年,"1877",仲町,,常光寺境内,,,,館林,,@,,,FALSE,,70,40,18,,,,,,,,
"20",139.53525,36.25030278,"130",琴平神社営築記念碑,碑,昭和3年,"1928",本町一丁目,,琴平神社境内,,,,館林,2020/11/28,,@,,TRUE,"53",170,73,11,,,,,,,,
"21",139.5340052582,36.2548554647,"61",本堂修築記念碑,碑,,,台宿町,,五宝寺境内,,,,館林,,,,,FALSE,,265,100,15,,,,,,,,
"22",139.5391156055,36.2516010655,"17",六百五十年報恩謝像,,,,朝日町,,円教寺境内,,,,館林,,,,,FALSE,,150,76,12,像,,,,,,,
"23",139.53887222,36.25145556,"18",新築記念宝塔,塔,明治6年,"1873",朝日町,,円教寺境内,,,,館林,2021/1/4,,@,,TRUE,"62",330,33,33,,,,,,,,
"24",139.5398889732,36.2496804544,"41",夜明稲荷由来碑,碑,昭和37年,"1962",朝日町,,夜明稲荷神社境内,,確認できず,,館林,2020/11/28,,,,FALSE,,48,55,4,,,,,,,,
"25",139.54038611,36.24595278,"237",秋元志朝頌徳碑,碑,明治29年,"1896",城町,,三の丸内,,,,館林,,@,@,Mar-20,TRUE,"72",420,227,27,,,,,,,,
"26",139.53995278,36.24506111,"238",城沼墾田碑,碑,明治36年,"1903",城町,,三の丸内,,,,館林,,@,@,Jun-19,TRUE,"75",276,124,17,,,,,,,,
"27",139.5414001704,36.2457836105,"239",高橋済翁の碑,碑,大正3年,"1914",城町,,三の丸内,,,,館林,,,,,FALSE,,350,105,15,,,,,,,,
"28",139.54059444,36.24458889,"240",岡谷瑳磨介の碑,碑,明治42年,"1909",城町,,三の丸内,,,,館林,,@,@,Jan-18,TRUE,"78",273,125,19,,,,,,,,
"29",139.5413874709,36.2458424009,"241",田中有文の碑,碑,明治20年,"1887",城町,,三の丸内,,,,館林,,,,,FALSE,,232,137,15,,,,,,,,
"30",139.5414693278,36.2457788983,"242",東寧大屋氏の碑,碑,明治40年,"1907",城町,,三の丸内,,,,館林,,,,,FALSE,,270,105,14,,,,,,,,
"31",139.5412460122,36.2458155494,"243",惺斉田中先生の碑,碑,昭和5年,"1930",城町,,三の丸内,,,,館林,,,,,FALSE,,330,124,22,,,,,,,,
"32",139.5413186024,36.2457134298,"244",桜樹記念碑,碑,明治30年,"1897",城町,,三の丸内,,,,館林,,,,,FALSE,,280,115,20,,,,,,,,
"33",139.5474274699,36.2448633591,"206",演芸殿新築記念碑,碑,昭和33年,"1958",尾曳町,,尾曳稲荷神社境内,,,,館林,,,,,FALSE,,310,10,20,,,,,,,,
"34",139.5475555258,36.2450772539,"207",質実剛健忠誠信念碑,碑,昭和46年,"1971",尾曳町,,尾曳稲荷神社境内,,,,館林,,,,,FALSE,,280,41,35,,,,,,,,
"35",139.54628611,36.24519444,"208",田山花袋歌碑,碑,昭和22年,"1947",尾曳町,,尾曳稲荷神社境内,,,,館林,,@,@,May-17,TRUE,"80",180,140,17,,,,,,,,
"36",139.5476166029,36.2451091466,"209",神社標石,標石,昭和15年,"1940",尾曳町,,尾曳稲荷神社境内,,,,館林,,,,,FALSE,,290,45,45,,,,,,,,
"37",139.5474943991,36.2451055263,"210",御成婚記念植樹之碑,碑,昭和43年,"1968",尾曳町,,尾曳稲荷神社境内,,,,館林,,,,,FALSE,,370,160,25,,,,,,,,
"38",139.5473763398,36.2450689084,"211",献穀記念之碑,碑,昭和6年,"1931",尾曳町,,尾曳稲荷神社境内,,,,館林,,,,,FALSE,,216,76,15,,,,,,,,
"39",139.547566257,36.2448872313,"212",西脇呉石先生詩碑,碑,昭和50年,"1975",尾曳町,,尾曳稲荷神社境内,,,,館林,,,,,FALSE,,160,70,19,,,,,,,,
"40",139.5475054058,36.2449286694,"213",西脇先生「花山公園」副碑,碑,昭和50年,"1975",尾曳町,,尾曳稲荷神社境内,,,,館林,,,,,FALSE,,55,70,5,,,,,,,,
"41",139.5475066852,36.2449507866,"214",尾曳渡船場の和歌碑,碑,昭和46年,"1971",尾曳町,,尾曳稲荷神社境内,,,,館林,,,,,FALSE,,105,135,15,,,,,,,,
"42",139.5459691205,36.2435728578,"204",富春園碑,碑,明治20年,"1887",尾曳町,,秋元別邸庭園内,,,,館林,,,,,FALSE,,148,78,22,,,,,,,,
"43",139.54651667,36.24352778,"205",藤牧義夫版画碑,碑,昭和53年,"1978",尾曳町,,秋元別邸庭園内,,,,館林,,,@,Apr-19,TRUE,"82",144,90,16,,,,,,,,
"44",139.52762778,36.25021667,"110",鐘楼堂石垣再建碑,碑,大正13年,"1924",西本町,,応声寺境内,,,,館林,2021/1/4,,@,,TRUE,"83",148,85,16,,,,,,,,
"45",139.52743611,36.25015278,"111",筆塚碑,碑,明治7年,"1874",西本町,,応声寺境内,,一覧と年代異なる,,館林,2021/1/4,@,@,,TRUE,"84",278,90,32,,,,,,,,
"46",139.52866944,36.25148056,"100",征露祈願碑,碑,明治42年,"1909",西本町,,愛宕神社境内,,,,館林,2021/1/4,,@,,TRUE,"85",210,75,210,,,,,,,,
"47",139.52889167,36.251475,"101",合祀記念之碑,碑,大正8年,"1919",西本町,,愛宕神社境内,,,,館林,2021/1/4,,@,,TRUE,"86",216,100,16,,,,,,,,
"48",139.53173889,36.25373889,"78",戦死者の碑,碑,明治2年,"1869",代官町,,邑楽護国神社境内,,,,館林,2020/11/28,@,@,Oct-18,TRUE,"87",122,83,20,,,,,,,,
"49",139.53182222,36.25369167,"79",招魂祠前長歌等碑,碑,明治2年,"1869",代官町,,邑楽護国神社境内,,,,館林,2020/11/28,,@,,TRUE,"88",135,90,14,,,,,,,,
"50",139.53148889,36.25387778,"80",西南役戦死碑,碑,明治11年,"1878",代官町,,邑楽護国神社境内,,,,館林,2020/11/28,,@,Dec-18,TRUE,"90",210,155,12,,,,,,,,
"51",139.53139167,36.253775,"81",十一士招魂碑,碑,明治21年,"1869",代官町,,邑楽護国神社境内,,2年→21年へ,,館林,2020/11/28,,@,,TRUE,"91",255,164,,,,,,,,,
"52",139.53160556,36.25386111,"82",大久保無二斎の碑,碑,明治26年,"1893",代官町,,邑楽護国神社境内,,,,館林,2020/11/28,,@,,TRUE,"92",344,115,17,,,,,,,,
"53",139.53153056,36.2539,"83",明治二十七、八年戦役碑,碑,,,代官町,,邑楽護国神社境内,,,,館林,2020/11/28,,@,,TRUE,"93",430,150,23,,,,,,,,
"54",139.53158056,36.25337222,"84",日露戦役記念碑,碑,明治39年,"1906",代官町,,邑楽護国神社境内,,,,館林,2020/11/28,,@,,TRUE,"94",330,147,25,,,,,,,,
"55",139.53140556,36.25345556,"85",招魂合祭碑,碑,明治2年,"1869",代官町,,邑楽護国神社境内,,,,館林,2020/11/28,,@,,TRUE,"95",141,78,14,,,,,,,,
"56",139.53168333,36.25375,"86",櫻樹移植の碑,碑,明治2年,"1869",代官町,,邑楽護国神社境内,,,,館林,2020/11/28,,@,,TRUE,"96",73,91,18,,,,,,,,
"57",139.53178056,36.25371389,"87",官祭招魂社石標,標石,大正3年,"1914",代官町,,邑楽護国神社境内,,,,館林,2020/11/28,,@,,TRUE,"97",164,84,21,,,,,,,,
"58",139.53235556,36.25417222,"89",つつじ分植の碑,碑,明治19年,"1886",代官町,,長良神社,,,,館林,2020/11/28,,@,,TRUE,"98",188,92,10,,,,,,,,
"59",139.53220278,36.25420556,"90",伊勢両宮太々神楽碑,碑,明治33年,"1900",代官町,,長良神社,,,,館林,2020/11/28,,@,,TRUE,"99",175,66,13,,,,,,,,
"60",139.53216944,36.25421667,"91",社殿改築記念碑,碑,昭和3年,"1928",代官町,,長良神社,,,,館林,2020/11/28,,@,,TRUE,"101",350,135,18,,,,,,,,
"61",139.53231389,36.25418333,"92",織物組合記念碑,碑,昭和5年,"1930",代官町,,長良神社,,,,館林,2020/11/28,,@,,TRUE,"102",317,117,22,,,,,,,,
"62",139.53193056,36.25423889,"93",織姫神社石鳥居記念碑,碑,昭和6年,"1931",代官町,,長良神社,,,,館林,2020/11/28,,@,,TRUE,"103",158,71,12,,,,,,,,
"63",139.5317068292,36.2541853108,"94",芳蓮・素外句碑,碑,明治31年,"1898",代官町,,長良神社,,確認できず,,館林,2020/11/28,@,,,FALSE,,70,20,20,,,,,,,,
"64",139.53245556,36.25401111,"95",長良大明神標石,標石,天和2年,"1682",代官町,,長良神社,,,,館林,2020/11/28,@,@,,TRUE,"104",180,26,26,,,,,,,,
"65",139.5324802115,36.2527254512,"88",芭蕉句碑,碑,,,代官町,,大川いく氏宅地内,,,,館林,,@,,,FALSE,,122,64,20,,,,,,,,
"66",139.5382020857,36.2520259572,"19",元禄阿弥陀如来尊,如来像,元禄9年,"1696",朝日町,,法高寺,舟型背面、浮彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"67",139.5322070302,36.2502362523,"177",常光寺阿弥陀尊,,寛文10年,"1670",仲町,,常光寺,丸彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"68",139.5408280466,36.2446407186,"263",観性寺阿弥陀三尊,,推定鎌倉時代,,城町,,市立図書館,舟型背面、浮彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"69",139.5677339094,36.243381624,"30",善導寺阿弥陀尊,,不明,,楠町,,善導寺,丸彫,,,郷谷,,,,,FALSE,,,,,座像,,,,,,,
"70",139.5321684936,36.2501368013,"178",常光寺阿弥陀三尊,,不明,　,仲町,,常光寺,自然石、浮彫,,,館林,,,,,FALSE,,,,,座像,,,,,,,
"71",139.538957555,36.2532398933,"1",本地十一面観世音,菩薩像,不明,,朝日町,地内,,石祠型,,,館林,,,,,FALSE,,,,,,,,,,,,
"72",139.5678758671,36.2434477975,"1",寛永念仏地蔵尊,地蔵菩薩像,寛永9年,"1632",楠町,,善導寺,舟型背面、浮彫,,,郷谷,,,,,FALSE,,,,,立像,,,,,,,
"73",139.5340942073,36.2548522084,"58",天和圓寿地蔵尊,地蔵菩薩像,天和2年,"1682",台宿町,,五宝寺,舟型背面、浮彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"74",139.536625,36.25157778,"34",元禄浮彫り地蔵尊,地蔵菩薩像,元禄6年,"1693",朝日町,,法輪寺,舟型背面、浮彫,,,館林,2021/1/4,,@,,TRUE,"106",,,,立像,,,,,,,
"75",139.567761832,36.2434040558,"2",応誉地蔵尊,地蔵菩薩像,元禄7年,"1694",楠町,,善導寺,丸彫,,,郷谷,,,,,FALSE,,,,,立像,,,,,,,
"76",139.5678438023,36.243423802,"3",元禄甚地蔵尊,地蔵菩薩像,元禄11年,"1698",楠町,,善導寺,丸彫,,,郷谷,,,,,FALSE,,,,,立像,,,,,,,
"77",139.53134722,36.24655556,"138",元禄地蔵尊,地蔵菩薩像,元禄13年,"1700",本町二丁目,,大道寺,丸彫,,,館林,2020/12/5,,@,,TRUE,"107",,,,立像,,,,,,,
"78",139.5679394982,36.2433876125,"4",善誉地蔵尊,地蔵菩薩像,宝永8年,"1711",楠町,,善導寺,丸彫,,,郷谷,,,,,FALSE,,,,,立像,,,,,,,
"79",139.52865556,36.24941944,"167",常念丸彫り地蔵尊,地蔵菩薩像,享保3年,"1718",仲町,,観性寺,丸彫,,,館林,2020/11/28,,@,,TRUE,"108",,,,立像,,,,,,,
"80",139.53643056,36.251275,"35",法輪寺月参地蔵尊,地蔵菩薩像,享保3年,"1718",朝日町,,法輪寺,丸彫,地蔵は新規,,館林,2021/1/4,,@,,TRUE,"110",,,,立像,,,,,,,
"81",139.53146944,36.24646111,"139",伊右衛門地蔵尊,地蔵菩薩像,享保6年,"1721",本町二丁目,,大道寺,丸彫,,,館林,2020/12/5,,@,,TRUE,"111",,,,座像,,,,,,,
"82",139.536425,36.25125833,"36",法輪寺寒念仏地蔵尊,地蔵菩薩像,元文元年,"1736",朝日町,,法輪寺,丸彫,地蔵は新規,,館林,2021/1/4,,@,,TRUE,"112",,,,立像,,,,,,,
"83",139.53153056,36.24619722,"140",大道寺寛延仏地蔵尊,地蔵菩薩像,寛延4年,"1751",本町二丁目,,大道寺,丸彫,,,館林,2020/12/5,,@,,TRUE,"113",,,,立像,,,,,,,
"84",139.53155278,36.24616944,"141",大道寺寛延地蔵尊,地蔵菩薩像,寛延4年,"1751",本町二丁目,,大道寺,丸彫,,,館林,2020/12/5,,@,,TRUE,"114",,,,立像,,,,,,,
"85",139.5340729141,36.2548889666,"59",台宿安永地蔵尊,地蔵菩薩像,安永3年,"1774",台宿町,,五宝寺,丸彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"86",139.5678532739,36.2433962373,"5",證雲地蔵尊,地蔵菩薩像,天明元年,"1781",楠町,,善導寺,丸彫,,,郷谷,,,,,FALSE,,,,,立像,,,,,,,
"87",139.53643889,36.25130833,"37",享和百萬遍供養地蔵尊,地蔵菩薩像,享和2年,"1802",朝日町,,法輪寺,丸彫,地蔵は新規,,館林,2021/1/4,,@,,TRUE,"115",,,,座像,,,,,,,
"88",139.53520833,36.25034722,"127",甲州地蔵尊,地蔵菩薩像,文化13年,"1816",本町一丁目,,琴平神社,浮彫,,,館林,2020/11/28,,@,,TRUE,"116",,,,立像,,,,,,,
"89",139.53650833,36.25156944,"38",三界萬霊地蔵尊,地蔵菩薩像,弘化4年,"1847",朝日町,,法輪寺,丸彫,,,館林,2021/1/4,,@,,TRUE,"117",,,,立像,,,,,,,
"90",139.53188552,36.2492650033,"194",千眼寺丸彫り地蔵尊,地蔵菩薩像,不明,　,仲町,,千眼寺,丸彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"91",139.5321476652,36.2491059799,"195",首なし丸彫り地蔵尊,地蔵菩薩像,不明,　,仲町,,千眼寺,丸彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"92",139.5275126499,36.2503503193,"102",応声寺はしか地蔵尊（1）,地蔵菩薩像,不明,,西本町,,応声寺,丸彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"93",139.5273982657,36.2504467411,"103",応声寺はしか地蔵尊（2）,地蔵菩薩像,不明,,西本町,,応声寺,丸彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"94",139.5463717433,36.2509125107,"216",教王院柱型六地蔵尊,地蔵菩薩像,不明,,加法師町,,教王院,柱型、三面浮彫,,,館林,,,,,FALSE,,,,,立像,,,,,,,
"95",139.5292745591,36.253363845,"112",生型馬頭尊,馬頭観世音,宝暦7年,"1757",西本町,,法泉寺,舟型背面、像浮彫,,,館林,,,,,FALSE,,,,,,,,,,,,
"96",139.53786667,36.25154444,"20",吉長馬頭尊,馬頭観世音,安永6年,"1777",朝日町,,法高寺,舟形背面、像浮彫,,,館林,2021/1/4,,@,,TRUE,"119",,,,,,,,,,,
"97",139.5322618265,36.2501428097,"179",源八馬頭尊,馬頭観世音,天保12年,"1841",仲町,,常光寺,柱型、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"98",139.52923611,36.25288333,"113",左山馬頭尊,馬頭観世音,嘉永5年,"1852",西本町,,法泉寺,駒型、文字,,,館林,2021/1/4,,@,,TRUE,"120",,,,,,,,,,,
"99",139.53437778,36.241775,"159",下町馬頭尊,馬頭観世音,明治9年,"1876",本町四丁目,,館林信用金庫南支店前,自然石、文字,,,館林,2020/11/28,,@,,TRUE,"121",,,,,,,,,,,
"100",139.5677112678,36.2433819184,"6",新門馬頭尊,馬頭観世音,明治27年,"1894",楠町,,善導寺,厚碑型、文字,,,郷谷,,,,,FALSE,,,,,,,,,,,,
"101",139.53522222,36.25031944,"128",菅原馬頭尊,馬頭観世音,明治28年,"1895",本町一丁目,,琴平神社,厚碑型、文字,,,館林,2020/11/28,,@,,TRUE,"1",,,,,,,,,,,
"102",139.53146944,36.24643889,"142",喜市馬頭尊,馬頭観世音,明治28年,"1895",本町二丁目,,大道寺,自然石、文字,,,館林,2020/12/5,,@,,TRUE,"2",,,,,,,,,,,
"103",139.53783611,36.25156389,"21",明治馬頭尊,馬頭観世音,明治36年,"1903",朝日町,,法高寺,柱型、文字,,,館林,2021/1/4,,@,,TRUE,"3",,,,,,,,,,,
"104",139.5388536811,36.2515920565,"2",円教寺馬頭尊,馬頭観世音,不明,,朝日町,,円教寺,柱型、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"105",139.5289220955,36.2498347863,"168",観性寺如意輪塔,如意輪観音像,明和4年,"1767",仲町,,観性寺,丸彫,,,館林,,,,,FALSE,,,,,座像,,,,,,,
"106",139.5321461986,36.2491771868,"196",恵順十九夜念仏供養塔,月待塔,明和6年,"1769",仲町,,千眼寺,柱型、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"107",139.54605833,36.25057222,"217",曜華如意輪塔,如意輪観音像,宝永3年,"1774",加法師町,,教王院,舟型背面、像浮彫,,,館林,2020/12/5,,@,,TRUE,"4",,,,,,,,,,,
"108",139.52864167,36.24931667,"169",観性寺二十三夜塔,月待塔,天保14年,"1843",仲町,,観性寺,柱型,,,館林,2020/11/28,,@,,TRUE,"5",,,,,,,,,,,
"109",139.53402778,36.25422222,"50",五宝寺十九夜塔,月待塔,明治17年,"1884",台宿町,,五宝寺,柱型、文字,,,館林,2021/1/4,,@,,TRUE,"6",,,,,,,,,,,
"110",139.5273409486,36.2491808547,"65",安産観世音塔,,不明,,栄町,,覚応寺,丸彫,,,館林,,,,,FALSE,,,,,座像,,,,,,,
"111",139.5320201284,36.2492675177,"186",千眼寺不動尊,,不明,　,仲町,,千眼寺,像浮彫,,,館林,,,,,FALSE,,,,,,,,,,,,
"112",139.53608611,36.25236111,"43",庚申待供養塔,庚申,寛文8年,"1668",台宿町,,熊野神社,舟形、文字,H9墓地工事で移動,,館林,2021/1/4,,@,,TRUE,"8",,,,,,,,,,,
"113",139.53614167,36.25235278,"44",寛文三猿庚申塔,庚申,寛文10年,"1670",台宿町,,熊野神社,舟型、文字、三猿,H9墓地工事で移動,,館林,2021/1/4,,@,,TRUE,"9",,,,,,,,,,,
"114",139.5319612147,36.2492724867,"187",千眼寺首なし三猿庚申塔,庚申,寛文12年,"1672",仲町,,千眼寺,舟型背面、像浮彫,,,館林,,,,,FALSE,,,,,,,,,,,,
"115",139.53609444,36.25236111,"45",延宝文字庚申塔,庚申,延宝2年,"1674",台宿町,,熊野神社,舟型、文字、三猿,H9墓地工事で移動,,館林,2021/1/4,,@,,TRUE,"10",,,,,,,,,,,
"116",139.53611111,36.25235278,"46",延宝三猿庚申塔,庚申,延宝2年,"1674",台宿町,,熊野神社,舟型背面、像浮彫,H9墓地工事で移動,,館林,2021/1/4,,@,,TRUE,"11",,,,,,,,,,,
"117",139.53782778,36.25151944,"22",法高寺三猿庚申塔,庚申,延宝5年,"1677",朝日町,,法高寺,舟型背面、像浮彫,,,館林,2021/1/4,,@,,TRUE,"12",,,,,,,,,,,
"118",139.52865556,36.24936389,"170",延宝観性寺庚申塔,庚申,延宝5年,"1677",仲町,,観性寺,舟型背面、像浮彫,,,館林,2020/11/28,,@,,TRUE,"13",,,,,,,,,,,
"119",139.5319190596,36.2490708047,"188",千眼寺三猿庚申塔,庚申,延宝7年,"1679",仲町,,千眼寺,舟型背面、像浮彫,,,館林,,,,,FALSE,,,,,,,,,,,,
"120",139.53786667,36.25152778,"23",延宝三猿庚申塔,庚申,延宝8年,"1680",朝日町,,法高寺,舟型背面、三猿浮彫,,,館林,2021/1/4,,@,,TRUE,"15",,,,,,,,,,,
"121",139.5462203488,36.2508103556,"218",教王院三猿庚申塔,庚申,延宝8年,"1680",加法師町,,教王院,舟型背面、三猿浮彫,,,館林,,,,,FALSE,,,,,,,,,,,,
"122",139.54600833,36.25039444,"219",延宝夘月庚申塔,庚申,延宝8年,"1680",加法師町,,教王院,舟型背面、像浮彫,,,館林,2020/12/5,,@,,TRUE,"16",,,,,,,,,,,
"123",139.53153889,36.24624167,"143",天和庚申塔,庚申,天和2年,"1682",本町二丁目,,大道寺,舟型背面、像浮彫,,,館林,2020/12/5,,@,,TRUE,"17",,,,,,,,,,,
"124",139.53155278,36.24621944,"144",貞享庚申塔,庚申,貞享3年,"1686",本町二丁目,,大道寺,舟型背面、像浮彫,,,館林,2020/12/5,,@,,TRUE,"18",,,,,,,,,,,
"125",139.53154722,36.24209444,"160",龍泉寺元禄庚申塔,庚申,元禄元年,"1688",本町四丁目,,龍泉寺,柱型、像浮彫,,,館林,2020/11/28,,@,,TRUE,"19",,,,,,,,,,,
"126",139.536125,36.25235278,"47",元禄三猿庚申塔,庚申,元禄4年,"1691",台宿町,,熊野神社,舟形背面、三猿浮彫,H9墓地工事で移動,,館林,2021/1/4,,@,,TRUE,"20",,,,,,,,,,,
"127",139.54605833,36.25055,"220",元禄教王院庚申塔,庚申,元禄10年,"1697",加法師町,,教王院,柱笠型,,,館林,2020/12/5,,@,,TRUE,"21",,,,,,,,,,,
"128",139.52864722,36.24939167,"171",宝永観性寺庚申塔,庚申,宝永元年,"1704",仲町,,観性寺,舟型背面、像浮彫,,,館林,2020/11/28,,@,,TRUE,"22",,,,,,,,,,,
"129",139.5381684982,36.2521266167,"24",元文文字庚申塔,庚申,元文5年,"1740",朝日町,,法高寺,駒型、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"130",139.537962989,36.252161615,"25",天明文字庚申塔,庚申,天明7年,"1787",朝日町,,法高寺,駒型、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"131",139.53401944,36.25425833,"51",寛政文字庚申塔,庚申,寛政3年,"1791",台宿町,,五宝寺,厚碑型、文字,,,館林,2021/1/4,,@,,TRUE,"23",,,,,,,,,,,
"132",139.5291028774,36.2497720225,"172",観性寺玉石庚申塔,庚申,寛政11年,"1799",仲町,,観性寺,玉石、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"133",139.52873611,36.24938333,"173",寛政玉石庚申塔,庚申,寛政12年,"1800",仲町,,観性寺,玉石、文字,,,館林,2020/11/28,,@,,TRUE,"24",,,,,,,,,,,
"134",139.53151389,36.24208056,"161",自然石庚申塔,庚申,寛政12年,"1800",本町四丁目,,龍泉寺,自然石、文字,,,館林,2020/11/28,,@,,TRUE,"25",,,,,,,,,,,
"135",139.5321964555,36.2501449955,"180",柱型文字庚申塔,庚申,文化5年,"1808",仲町,,常光寺,柱型、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"136",139.5337871128,36.2428904675,"163",天保庚申塔,庚申,天保10年,"1839",本町四丁目,,,柱型、像浮彫,,,館林,,,,,FALSE,,,,,,,,,,,,
"137",139.5284951474,36.2517997219,"98",柱型猿田毘古,,明治11年,"1878",西本町,,愛宕神社,柱型、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"138",139.5312747574,36.2466457041,"145",柱型猿田彦大神,庚申,明治42年,"1909",本町二丁目,,大道寺,柱型、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"139",139.5274815377,36.25039491,"104",応声寺文字庚申塔,庚申,昭和40年,"1965",西本町,,応声寺,舟型、文字,,,館林,,,,,FALSE,,,,,,,,,,,,
"140",139.5362,36.25233611,"48",自然石庚申塔,庚申,不明,,台宿町,,熊野神社,自然石、文字,H9墓地工事で移動,,館林,2021/1/4,,@,,TRUE,"26",,,,,,,,,,,
"141",139.53243333,36.2465,"131",青梅庚申塔,庚申,不明,　,本町二丁目,,青梅天神,碑型、文字,,,館林,2020/11/28,,@,,TRUE,"27",,,,,,,,,,,
"142",139.53240556,36.24650556,"132",青梅自然石庚申塔,庚申,不明,　,本町二丁目,,青梅天神,自然石、文字,,,館林,2020/11/28,,@,,TRUE,"28",,,,,,,,,,,
"143",139.53241944,36.24650556,"133",碑型三猿庚申塔,庚申,不明,　,本町二丁目,,青梅天神,碑型、三猿浮彫,,,館林,2020/11/28,,@,,TRUE,"29",,,,,,,,,,,
"144",139.53239167,36.24650556,"134",後岡庚申塔,庚申,不明,　,本町二丁目,,青梅天神,自然石、文字,,,館林,2020/11/28,,@,,TRUE,"30",,,,,,,,,,,
"145",139.52884722,36.25160556,"99",青石地蔵板碑,,文永10年,"1273",西本町,,愛宕神社,陰刻地蔵像,,,館林,2021/1/4,,@,,TRUE,"31",182,55.5,,,,,,,,,
