入力No.,地区No.,名称,種別,年代,西暦,所在地①,所在地②,詳細,備考①,備考②,備考③,参考文献,地区,調査日,解説,写真,広報,緯度（世界）,経度（世界）,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒
222,28,法高寺宝篋印塔（3）,,寛永16年,1639,朝日町,,法高寺,,,高幅厚,③,館林,2021/1/4,,@,,36.25164722 ,139.53803611 ,36 ,15 ,5.93 ,139 ,32 ,16.93 
223,29,法高寺宝篋印塔（4）,,明治21年,1888,朝日町,,法高寺,,,高幅厚,③,館林,2021/1/4,,@,,36.25162778 ,139.53803611 ,36 ,15 ,5.86 ,139 ,32 ,16.93 
240,30,天和名号塔,,天和3年,1683,朝日町,,法高寺,厚碑型,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
247,31,享保名号塔,,享保10年,1725,朝日町,,法高寺,厚碑型,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1803,32,六百五十遠忌報恩謝徳,,昭和6年,1931,朝日町,,法高寺,,,高幅厚,,館林,2021/1/4,,@,,36.25186389 ,139.53798889 ,36,15,6.71,139,32,16.76
1804,33,天笠勝臧翁之碑,碑,大正11年,1922,西本町,,法泉寺,,,高幅厚,,館林,2021/1/4,,@,,36.53583333 ,139.52921111 ,36,15,1029,139,31,45.16
74,34,元禄浮彫り地蔵尊,立像,元禄6年,1693,朝日町,,法輪寺,舟型背面、浮彫,,高幅厚,③,館林,2021/1/4,,@,,36.25157778 ,139.53662500 ,36 ,15 ,5.68 ,139 ,32 ,11.85 
80,35,法輪寺月参地蔵尊,立像,享保3年,1718,朝日町,,法輪寺,丸彫,地蔵は新規,高幅厚,③,館林,2021/1/4,,@,,36.25127500 ,139.53643056 ,36 ,15 ,4.59 ,139 ,32 ,11.15 
82,36,法輪寺寒念仏地蔵尊,立像,元文元年,1736,朝日町,,法輪寺,丸彫,地蔵は新規,高幅厚,③,館林,2021/1/4,,@,,36.25125833 ,139.53642500 ,36 ,15 ,4.53 ,139 ,32 ,11.13 
87,37,享和百萬遍供養地蔵尊,座像,享和2年,1802,朝日町,,法輪寺,丸彫,地蔵は新規,高幅厚,③,館林,2021/1/4,,@,,36.25130833 ,139.53643889 ,36 ,15 ,4.71 ,139 ,32 ,11.18 
89,38,三界萬霊地蔵尊,立像,弘化4年,1847,朝日町,,法輪寺,丸彫,,高幅厚,③,館林,2021/1/4,,@,,36.25156944 ,139.53650833 ,36 ,15 ,5.65 ,139 ,32 ,11.43 
242,39,法輪寺閻魔大王,座像,元禄6年,1693,朝日町,,法輪寺,浮彫,,高幅厚,③,館林,2021/1/4,,@,,36.25153889 ,139.53662500 ,36 ,15 ,5.54 ,139 ,32 ,11.85 
258,40,戒壇石,,明治44年,1911,朝日町,,法輪寺,柱型,,高幅厚,③,館林,2021/1/4,,@,,36.25125000 ,139.53650833 ,36 ,15 ,4.50 ,139 ,32 ,11.43 
24,41,夜明稲荷由来碑,碑,昭和37年,1962,朝日町,,夜明稲荷神社境内,,確認できず,高48幅55厚4,①,館林,2020/11/28,,,,0.00000000 ,0.00000000 ,,,,,,
1800,42,百度石,,昭和6年,1931,朝日町,,夜明稲荷神社境内,,,高幅厚,,館林,2020/11/28,,@,,36.24958056 ,139.53991667 ,36,14,58.49,139,32,23.7
112,43,庚申待供養塔,,寛文8年,1668,台宿町,,熊野神社,舟形、文字,H9墓地工事で移動,高幅厚,③,館林,2021/1/4,,@,,36.25236111 ,139.53608611 ,36 ,15 ,8.50 ,139 ,32 ,9.91 
113,44,寛文三猿庚申塔,,寛文10年,1670,台宿町,,熊野神社,舟型、文字、三猿,H9墓地工事で移動,高幅厚,③,館林,2021/1/4,,@,,36.25235278 ,139.53614167 ,36 ,15 ,8.47 ,139 ,32 ,10.11 
115,45,延宝文字庚申塔,,延宝2年,1674,台宿町,,熊野神社,舟型、文字、三猿,H9墓地工事で移動,高幅厚,③,館林,2021/1/4,,@,,36.25236111 ,139.53609444 ,36 ,15 ,8.50 ,139 ,32 ,9.94 
116,46,延宝三猿庚申塔,,延宝2年,1674,台宿町,,熊野神社,舟型背面、像浮彫,H9墓地工事で移動,高幅厚,③,館林,2021/1/4,,@,,36.25235278 ,139.53611111 ,36 ,15 ,8.47 ,139 ,32 ,10.00 
126,47,元禄三猿庚申塔,,元禄4年,1691,台宿町,,熊野神社,舟形背面、三猿浮彫,H9墓地工事で移動,高幅厚,③,館林,2021/1/4,,@,,36.25235278 ,139.53612500 ,36 ,15 ,8.47 ,139 ,32 ,10.05 
140,48,自然石庚申塔,,不明,,台宿町,,熊野神社,自然石、文字,H9墓地工事で移動,高幅厚,③,館林,2021/1/4,,@,,36.25233611 ,139.53620000 ,36 ,15 ,8.41 ,139 ,32 ,10.32 
248,49,寒念仏供養塔,,享保14年,1729,台宿町,,熊野神社,柱型,H9墓地工事で移動,高幅厚,③,館林,2021/1/4,,@,,36.25234722 ,139.81694444 ,36 ,15 ,8.45 ,139 ,32 ,1021.00 
109,50,五宝寺十九夜塔,,明治17年,1884,台宿町,,五宝寺,柱型、文字,,高幅厚,③,館林,2021/1/4,,@,,36.25422222 ,139.53402778 ,36 ,15 ,15.20 ,139 ,32 ,2.50 
131,51,寛政文字庚申塔,,寛政3年,1791,台宿町,,五宝寺,厚碑型、文字,,高幅厚,③,館林,2021/1/4,,@,,36.25425833 ,139.53401944 ,36 ,15 ,15.33 ,139 ,32 ,2.47 
149,52,不動まんだら板碑,,永仁5年,1297,台宿町,,五宝寺,種子 キリーク,,高122幅36,②434③⑧955,館林,2021/1/4,,@,,36.25448333 ,139.53388056 ,36 ,15 ,16.14 ,139 ,32 ,1.97 
208,53,種子不明板碑,,延文年間,1356～1361,台宿町,,五宝寺,,,,②450,館林,2021/1/4,,@,,36.25420833 ,139.53429722 ,36 ,15 ,15.15 ,139 ,32 ,3.47 
209,54,五宝寺宝篋印塔（2）,,寛永10年,1633,台宿町,,五宝寺,塔身のみ,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
210,55,五宝寺宝篋印塔（3）,,慶安2年,1649,台宿町,,五宝寺,,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
211,56,五宝寺宝篋印塔（4）,,昭和9年,1934,台宿町,,五宝寺,陀羅尼塔,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
212,57,五宝寺宝篋印塔（5）,,不明,,台宿町,,五宝寺,,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
73,58,天和圓寿地蔵尊,立像,天和2年,1682,台宿町,,五宝寺,舟型背面、浮彫,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
85,59,台宿安永地蔵尊,立像,安永3年,1774,台宿町,,五宝寺,丸彫,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1462,60,種子不明板碑,,延文年間,1356～1361,台宿町,,五宝寺,,,,②450,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
21,61,本堂修築記念碑,碑,,,台宿町,,五宝寺境内,,,高265幅100厚15,①,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1752,62,火防組創部記念碑,,昭和12年,1937,大街道一丁目,,会館構内,,,高179幅99厚13,①,館林,2021/1/4,,@,18/4,36.25444167 ,139.52386111 ,36 ,15 ,15.99 ,139 ,31 ,25.90 
825,63,田村庚申塔,,大正8年,1919,大街道二丁目,4-28,田村家,自然石、文字,,高幅厚,⑤,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1460,64,阿弥陀如来種子板碑,,延文6年,1361,栄町,,覚応寺,種子 キリーク,,高92幅25,②450⑧957,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
110,65,安産観世音塔,座像,不明,,栄町,,覚応寺,丸彫,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
7,66,篤敬三宝碑,碑,大正6年,1917,栄町,,覚応寺境内,,,高192幅87厚11,①,館林,2021/1/4,,@,,36.24889444 ,139.52741111 ,36 ,14 ,56.02 ,139 ,31 ,38.68 
8,67,御大典記念碑,碑,昭和3年,1928,栄町,,覚応寺境内,,,高243幅100厚16,①,館林,2021/1/4,,@,,36.24886944 ,139.52745833 ,36 ,14 ,55.93 ,139 ,31 ,38.85 
9,68,館林鳶組記念碑,碑,明治35年,1902,栄町,,覚応寺境内,,,高286幅69厚10,①,館林,2021/1/4,,@,19/11,36.24884444 ,139.52753333 ,36 ,14 ,55.84 ,139 ,31 ,39.12 
10,69,大久保鼎死処の碑,碑,明治26年,1893,栄町,,覚応寺境内,,一覧と年代異なる,高159幅100厚15,①43,館林,,@,,,0.00000000 ,0.00000000 ,,,,,,
11,70,東亜志士加藤仡夫君碑,碑,大正2年,1913,栄町,,覚応寺境内,,,高227幅100厚13,①41,館林,2021/1/4,@,@,,36.24900000 ,139.52710833 ,36 ,14 ,56.40 ,139 ,31 ,37.59 
12,71,本堂改築記念碑,碑,昭和6年,1931,栄町,,覚応寺境内,,,高223幅114厚12,①,館林,2021/1/4,,@,,36.24897500 ,139.52741111 ,36 ,14 ,56.31 ,139 ,31 ,38.68 
1753,72,白山神社改築記念碑,,昭和10年,1935,栄町,,白山神社境内,,,高185幅63厚12,①,館林,2021/1/4,,@,,36.24880278 ,139.52470000 ,36,14,55.69,139,31,28.92
1805,73,享保三猿庚申塔,立像,享保5年,1720,栄町,,白山神社境内,,,高幅厚,,館林,2021/1/4,,@,,36.24875278 ,139.52454722 ,36,14,55.51,139,31,28.37
1806,74,正徳三猿庚申塔,立像,正徳5年,1715,栄町,,白山神社境内,,,高幅厚,,館林,2021/1/4,,@,,36.24877778 ,139.52453056 ,36,14,55.6,139,31,28.31
1807,75,享保三猿庚申塔,立像,享保9年,1724,栄町,,白山神社境内,,,高幅厚,,館林,2021/1/4,,@,,36.24878333 ,139.52450833 ,36,14,55.62,139,31,28.23
1808,76,婦命弁財天,,享保12年,1727,栄町,,白山神社境内,,,高幅厚,,館林,2021/1/4,,@,,36.24878333 ,139.52449167 ,36,14,55.62,139,31,28.17
1809,77,普門品供養塔,塔,文化7年,1810,栄町,,白山神社境内,,,高幅厚,,館林,2021/1/4,,@,,36.24877222 ,139.52447778 ,36,14,55.58,139,31,28.12
48,78,戦死者の碑,碑,明治2年,1869,代官町,,邑楽護国神社境内,,,高122幅83厚20,①40,館林,2020/11/28,@,@,18/10,36.25373889 ,139.53173889 ,36 ,15 ,13.46 ,139 ,31 ,54.26 
49,79,招魂祠前長歌等碑,碑,明治2年,1869,代官町,,邑楽護国神社境内,,,高135幅90厚14,①,館林,2020/11/28,,@,,36.25369167 ,139.53182222 ,36 ,15 ,13.29 ,139 ,31 ,54.56 
50,80,西南役戦死碑,碑,明治11年,1878,代官町,,邑楽護国神社境内,,,高210幅155厚12,①,館林,2020/11/28,,@,18/12,36.25387778 ,139.53148889 ,36 ,15 ,13.96 ,139 ,31 ,53.36 
51,81,十一士招魂碑,碑,明治21年,1869,代官町,,邑楽護国神社境内,,2年→21年へ,高255幅164,①,館林,2020/11/28,,@,,36.25377500 ,139.53139167 ,36 ,15 ,13.59 ,139 ,31 ,53.01 
52,82,大久保無二斎の碑,碑,明治26年,1893,代官町,,邑楽護国神社境内,,,高344幅115厚17,①,館林,2020/11/28,,@,,36.25386111 ,139.53160556 ,36 ,15 ,13.90 ,139 ,31 ,53.78 
53,83,明治二十七、八年戦役碑,碑,,,代官町,,邑楽護国神社境内,,,高430幅150厚23,①,館林,2020/11/28,,@,,36.25390000 ,139.53153056 ,36 ,15 ,14.04 ,139 ,31 ,53.51 
54,84,日露戦役記念碑,碑,明治39年,1906,代官町,,邑楽護国神社境内,,,高330幅147厚25,①,館林,2020/11/28,,@,,36.25337222 ,139.53158056 ,36 ,15 ,12.14 ,139 ,31 ,53.69 
55,85,招魂合祭碑,碑,明治2年,1869,代官町,,邑楽護国神社境内,,,高141幅78厚14,①,館林,2020/11/28,,@,,36.25345556 ,139.53140556 ,36 ,15 ,12.44 ,139 ,31 ,53.06 
56,86,櫻樹移植の碑,碑,明治2年,1869,代官町,,邑楽護国神社境内,,,高73幅91厚18,①,館林,2020/11/28,,@,,36.25375000 ,139.53168333 ,36 ,15 ,13.50 ,139 ,31 ,54.06 
57,87,官祭招魂社石標,標石,大正3年,1914,代官町,,邑楽護国神社境内,,,高164幅84厚21,①,館林,2020/11/28,,@,,36.25371389 ,139.53178056 ,36 ,15 ,13.37 ,139 ,31 ,54.41 
65,88,芭蕉句碑,碑,,,代官町,,大川いく氏宅地内,,,高122幅64厚20,①55,館林,,@,,,0.00000000 ,0.00000000 ,,,,,,
58,89,つつじ分植の碑,碑,明治19年,1886,代官町,,長良神社,,,高188幅92厚10,①,館林,2020/11/28,,@,,36.25417222 ,139.53235556 ,36 ,15 ,15.02 ,139 ,31 ,56.48 
59,90,伊勢両宮太々神楽碑,碑,明治33年,1900,代官町,,長良神社,,,高175幅66厚13,①,館林,2020/11/28,,@,,36.25420556 ,139.53220278 ,36 ,15 ,15.14 ,139 ,31 ,55.93 
60,91,社殿改築記念碑,碑,昭和3年,1928,代官町,,長良神社,,,高350幅135厚18,①,館林,2020/11/28,,@,,36.25421667 ,139.53216944 ,36 ,15 ,15.18 ,139 ,31 ,55.81 
61,92,織物組合記念碑,碑,昭和5年,1930,代官町,,長良神社,,,高317幅117厚22,①,館林,2020/11/28,,@,,36.25418333 ,139.53231389 ,36 ,15 ,15.06 ,139 ,31 ,56.33 
62,93,織姫神社石鳥居記念碑,碑,昭和6年,1931,代官町,,長良神社,,,高158幅71厚12,①,館林,2020/11/28,,@,,36.25423889 ,139.53193056 ,36 ,15 ,15.26 ,139 ,31 ,54.95 
63,94,芳蓮・素外句碑,碑,明治31年,1898,代官町,,長良神社,,確認できず,高70幅20厚20,①51,館林,2020/11/28,@,,,0.00000000 ,0.00000000 ,,,,,,
64,95,長良大明神標石,標石,天和2年,1682,代官町,,長良神社,,,高180幅26厚26,①53,館林,2020/11/28,@,@,,36.25401111 ,139.53245556 ,36 ,15 ,14.44 ,139 ,31 ,56.84 
1801,96,御神前,灯篭,不明,,代官町,,長良神社,■年七月吉日／若連氏子中,,高幅厚,,館林,2020/11/28,,@,,36.25420000 ,139.53226667 ,36 ,15 ,15.12 ,139 ,31 ,56.16 
1802,97,永代常灯明,碑,明和5年,1768,代官町,,長良神社,,,高幅厚,,館林,2020/11/28,,@,,36.25426667 ,139.53186111 ,36 ,15 ,15.36 ,139 ,31 ,54.70 
137,98,柱型猿田毘古,,明治11年,1878,西本町,,愛宕神社,柱型、文字,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
145,99,青石地蔵板碑,,文永10年,1273,西本町,,愛宕神社,陰刻地蔵像,,高182幅55.5,②432③⑧955,館林,2021/1/4,,@,,36.25160556 ,139.52884722 ,36 ,15 ,5.78 ,139 ,31 ,43.85 
46,100,征露祈願碑,碑,明治42年,1909,西本町,,愛宕神社境内,,,高210幅75厚210,①,館林,2021/1/4,,@,,36.25148056 ,139.52866944 ,36 ,15 ,5.33 ,139 ,31 ,43.21 
47,101,合祀記念之碑,碑,大正8年,1919,西本町,,愛宕神社境内,,,高216幅100厚16,①,館林,2021/1/4,,@,,36.25147500 ,139.52889167 ,36 ,15 ,5.31 ,139 ,31 ,44.01 
92,102,応声寺はしか地蔵尊（1）,立像,不明,,西本町,,応声寺,丸彫,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
93,103,応声寺はしか地蔵尊（2）,立像,不明,,西本町,,応声寺,丸彫,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
139,104,応声寺文字庚申塔,,昭和40年,1965,西本町,,応声寺,舟型、文字,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
230,105,応声寺宝篋印塔（1）,,元禄5年,1692,西本町,,応声寺,塔身のみ,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
241,106,廊應名号塔,,貞享5年,1688,西本町,,応声寺,柱型、笠付き,,高幅厚,③,館林,2021/1/4,,@,,36.25018333 ,139.52773611 ,36 ,15 ,0.66 ,139 ,31 ,39.85 
243,107,覚阿名号塔,,元禄7年,1694,西本町,,応声寺,柱型、笠付き,,高幅厚,③,館林,2021/1/4,,@,,36.25009167 ,139.52769167 ,36 ,15 ,0.33 ,139 ,31 ,39.69 
253,108,応声寺疱瘡神,,天明2年,1782,西本町,,応声寺,石祠型,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
259,109,応声寺山王權現,,不明,,西本町,,応声寺,丸彫,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
44,110,鐘楼堂石垣再建碑,碑,大正13年,1924,西本町,,応声寺境内,,,高148幅85厚16,①,館林,2021/1/4,,@,,36.25021667 ,139.52762778 ,36 ,15 ,0.78 ,139 ,31 ,39.46 
45,111,筆塚碑,碑,明治7年,1874,西本町,,応声寺境内,,一覧と年代異なる,高278幅90厚32,①45,館林,2021/1/4,@,@,,36.25015278 ,139.52743611 ,36 ,15 ,0.55 ,139 ,31 ,38.77 
95,112,生型馬頭尊,,宝暦7年,1757,西本町,,法泉寺,舟型背面、像浮彫,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
98,113,左山馬頭尊,,嘉永5年,1852,西本町,,法泉寺,駒型、文字,,高幅厚,③,館林,2021/1/4,,@,,36.25288333 ,139.52923611 ,36 ,15 ,10.38 ,139 ,31 ,45.25 
213,114,法泉寺宝篋印塔（1）,,寛永10年,1633,西本町,,法泉寺,,,高幅厚,③,館林,2021/1/4,,@,,36.25299167 ,139.52927222 ,36 ,15 ,10.77 ,139 ,31 ,45.38 
214,115,法泉寺宝篋印塔（2）,,寛永11年,1634,西本町,,法泉寺,,,高幅厚,③,館林,2021/1/4,,@,,36.25299722 ,139.52926667 ,36 ,15 ,10.79 ,139 ,31 ,45.36 
215,116,法泉寺宝篋印塔（3）,,寛永12年,1635,西本町,,法泉寺,,,高幅厚,③,館林,2021/1/4,,@,,36.25299722 ,139.52929722 ,36 ,15 ,10.79 ,139 ,31 ,45.47 
216,117,法泉寺宝篋印塔（4）,,寛永12年,1635,西本町,,法泉寺,,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
217,118,法泉寺宝篋印塔（5）,,寛永16年,1638,西本町,,法泉寺,,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
218,119,法泉寺宝篋印塔（6）,,寛永16年,1639,西本町,,法泉寺,塔身のみ,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
219,120,法泉寺宝篋印塔（7）,,不明,,西本町,,法泉寺,塔身 1個　笠 1個　相輪 5個,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
251,121,宝暦六十六部供養塔,,宝暦10年,1760,西本町,,法泉寺,駒型,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1451,122,阿弥陀如来種子板碑,,貞和年間,1345～1350,西本町,,法泉寺,種子 キリーク,,高52幅21,②448⑧957,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1480,123,阿弥陀如来種子板碑,,応永4年,1397,西本町,,法泉寺,種子 キリーク,,高52幅21,②456,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1488,124,大日如来種子板碑,,長禄5年,1461,西本町,,法泉寺,種子 バン,,高41幅14,②460⑧958,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1491,125,大日如来種子板碑,,文明10年,1478,西本町,,法泉寺,種子 バン,,高44幅13,②462,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1508,126,阿弥陀如来種子板碑,,不明,,西本町,,法泉寺,種子 キリーク,,高56幅17,②466⑧957,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
88,127,甲州地蔵尊,立像,文化13年,1816,本町一丁目,,琴平神社,浮彫,,高幅厚,③,館林,2020/11/28,,@,,36.25030000 ,139.53520000 ,36,15,1.2,139,32,6.72
101,128,菅原馬頭尊,,明治28年,1895,本町一丁目,,琴平神社,厚碑型、文字,,高幅厚,③,館林,2020/11/28,,@,,36.25030000 ,139.53520000 ,36,15,1.2,139,32,6.72
252,129,安永回国供養塔,,安永5年,1776,本町一丁目,,琴平神社,柱型,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,　,　,　,　,　,　
20,130,琴平神社営築記念碑,碑,昭和3年,1928,本町一丁目,,琴平神社境内,,,高170幅73厚11,①,館林,2020/11/28,,@,,36.25030000 ,139.53520000 ,36,15,1.2,139,32,6.72
141,131,青梅庚申塔,,不明,　,本町二丁目,,青梅天神,碑型、文字,,高幅厚,③,館林,2020/11/28,,@,,36.24650000 ,139.53240000 ,36,14,47.35,139,31,56.68
142,132,青梅自然石庚申塔,,不明,　,本町二丁目,,青梅天神,自然石、文字,,高幅厚,③,館林,2020/11/28,,@,,36.24650000 ,139.53240000 ,36,14,47.35,139,31,56.68
143,133,碑型三猿庚申塔,,不明,　,本町二丁目,,青梅天神,碑型、三猿浮彫,,高幅厚,③,館林,2020/11/28,,@,,36.24650000 ,139.53240000 ,36,14,47.35,139,31,56.68
144,134,後岡庚申塔,,不明,　,本町二丁目,,青梅天神,自然石、文字,,高幅厚,③,館林,2020/11/28,,@,,36.24650000 ,139.53240000 ,36,14,47.35,139,31,56.68
5,135,青梅天満宮標石,標石,寛文6年,1666,本町二丁目,,青梅神社境内,,,高190幅36厚35,①26,館林,2020/11/28,@,@,,36.24630000 ,139.53320000 ,36,14,46.52,139,31,59.65
6,136,参宮記念碑,碑,昭和9年,1934,本町二丁目,,青梅神社境内,,,高178幅73厚14,①,館林,2020/11/28,,@,,36.24650000 ,139.53250000 ,36,14,47.29,139,31,57.14
176,137,弥陀浮彫板碑,,不明,　,本町二丁目,,後藤 太嘉次,弥陀一尊陽刻,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,　,　,　,　,　,　
77,138,元禄地蔵尊,立像,元禄13年,1700,本町二丁目,,大道寺,丸彫,,高幅厚,③,館林,2020/12/5,,@,,36.24660000 ,139.53130000 ,36,14,47.6,139,31,52.85
81,139,伊右衛門地蔵尊,座像,享保6年,1721,本町二丁目,,大道寺,丸彫,,高幅厚,③,館林,2020/12/5,,@,,36.24640000 ,139.53150000 ,36,14,47.07,139,31,53.53
83,140,大道寺寛延仏地蔵尊,立像,寛延4年,1751,本町二丁目,,大道寺,丸彫,,高幅厚,③,館林,2020/12/5,,@,,36.24620000 ,139.53150000 ,36,14,46.21,139,31,53.41
