入力No.,地区No.,名称,種別,年代,西暦,所在地①,所在地②,詳細,備考,備考,参考文献,調査日,解説,写真,広報,緯度（世界）,経度（世界）,重複文献①,重複文献②,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒
89,36,三界萬霊地蔵尊,立像,弘化4年,1847,朝日町,,法輪寺,丸彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
242,37,法輪寺閻魔大王,座像,元禄6年,1693,朝日町,,法輪寺,浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
258,38,戒壇石,,明治44年,1911,朝日町,,法輪寺,柱型,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
24,39,夜明稲荷由来碑,碑,昭和37年,1962,朝日町,,夜明稲荷神社境内,,確認できず,①,2020/11/28,,,,0.00000000 ,0.00000000 ,,,,,,,,
112,40,庚申待供養塔,,寛文8年,1668,台宿町,,熊野神社,舟形、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
113,41,寛文三猿庚申塔,,寛文10年,1670,台宿町,,熊野神社,舟型、文字、三猿,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
115,42,延宝文字庚申塔,,延宝2年,1674,台宿町,,熊野神社,舟型、文字、三猿,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
116,43,延宝三猿庚申塔,,延宝2年,1674,台宿町,,熊野神社,舟型背面、像浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
126,44,元禄三猿庚申塔,,元禄4年,1691,台宿町,,熊野神社,舟形背面、三猿浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
140,45,自然石庚申塔,,不明,,台宿町,,熊野神社,自然石、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
248,46,寒念仏供養塔,,享保14年,1729,台宿町,,熊野神社,柱型,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
109,47,五宝寺十九夜塔,,明治17年,1884,台宿町,,五宝寺,柱型、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
131,48,寛政文字庚申塔,,寛政3年,1791,台宿町,,五宝寺,厚碑型、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
149,49,不動まんだら板碑,,永仁5年,1297,台宿町,,五宝寺,種子 キリーク,,②③⑧,,,,,0.00000000 ,0.00000000 ,"市史 特別編4 P.434 No,15","市誌 歴史編 P.955 No,9",,,,,,
208,50,五宝寺宝篋印塔（1）,,寛永6年,1629,台宿町,,五宝寺,相輪一部欠,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
209,51,五宝寺宝篋印塔（2）,,寛永10年,1633,台宿町,,五宝寺,塔身のみ,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
210,52,五宝寺宝篋印塔（3）,,慶安2年,1649,台宿町,,五宝寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
211,53,五宝寺宝篋印塔（4）,,昭和9年,1934,台宿町,,五宝寺,陀羅尼塔,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
212,54,五宝寺宝篋印塔（5）,,不明,,台宿町,,五宝寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
73,55,天和圓寿地蔵尊,立像,天和2年,1682,台宿町,,五宝寺,舟型背面、浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
85,56,台宿安永地蔵尊,立像,安永3年,1774,台宿町,,五宝寺,丸彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1462,57,種子不明板碑,,延文年間,1356～1361,台宿町,,五宝寺,,,②,,,,,0.00000000 ,0.00000000 ,,,,,,,,
21,58,本堂修築記念碑,碑,,,台宿町,,五宝寺境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1752,59,火防組創部記念碑,,昭和12年,1937,大街道一丁目,,会館構内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
825,60,田村庚申塔,,大正8年,1919,大街道二丁目,4-28,田村家,自然石、文字,,⑤,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1460,61,阿弥陀如来種子板碑,,延文6年,1361,栄町,,覚応寺,種子 キリーク,,②⑧,,,,,0.00000000 ,0.00000000 ,"市誌 歴史編 P.957 No,67",,,,,,,
110,62,安産観世音塔,座像,不明,,栄町,,覚応寺,丸彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
7,63,篤敬三宝碑,碑,大正6年,1917,栄町,,覚応寺境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
8,64,御大典記念碑,碑,昭和3年,1928,栄町,,覚応寺境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
9,65,館林鳶組記念碑,碑,明治35年,1902,栄町,,覚応寺境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
10,66,大久保鼎死処の碑,碑,明治36年,1903,栄町,,覚応寺境内,,,①,,@,,,0.00000000 ,0.00000000 ,,,,,,,,
11,67,東亜志士加藤仡夫君碑,碑,大正2年,1913,栄町,,覚応寺境内,,,①,,@,,,0.00000000 ,0.00000000 ,,,,,,,,
12,68,本堂改築記念碑,碑,昭和6年,1931,栄町,,覚応寺境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1753,69,白山神社改築記念碑,,昭和10年,1935,栄町,,白山神社境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
48,70,戦死者の碑,碑,明治2年,1869,代官町,,邑楽護国神社境内,,,①,2020/11/28,@,@,,36.25373889 ,139.53173889 ,,,36 ,15 ,13.46 ,139 ,31 ,54.26 
49,71,招魂祠前長歌等碑,碑,明治2年,1869,代官町,,邑楽護国神社境内,,,①,2020/11/28,,@,,36.25369167 ,139.53182222 ,,,36 ,15 ,13.29 ,139 ,31 ,54.56 
50,72,西南役戦死碑,碑,明治11年,1878,代官町,,邑楽護国神社境内,,,①,2020/11/28,,@,,36.25387778 ,139.53148889 ,,,36 ,15 ,13.96 ,139 ,31 ,53.36 
51,73,十一士招魂碑,碑,明治21年,1869,代官町,,邑楽護国神社境内,,2年→21年へ,①,2020/11/28,,@,,36.25377500 ,139.53139167 ,,,36 ,15 ,13.59 ,139 ,31 ,53.01 
52,74,大久保無二斎の碑,碑,明治26年,1893,代官町,,邑楽護国神社境内,,,①,2020/11/28,,@,,36.25386111 ,139.53160556 ,,,36 ,15 ,13.90 ,139 ,31 ,53.78 
53,75,明治二十七、八年戦役碑,碑,,,代官町,,邑楽護国神社境内,,,①,2020/11/28,,@,,36.25390000 ,139.53153056 ,,,36 ,15 ,14.04 ,139 ,31 ,53.51 
54,76,日露戦役記念碑,碑,明治39年,1906,代官町,,邑楽護国神社境内,,,①,2020/11/28,,@,,36.25337222 ,139.53158056 ,,,36 ,15 ,12.14 ,139 ,31 ,53.69 
55,77,招魂合祭碑,碑,明治2年,1869,代官町,,邑楽護国神社境内,,,①,2020/11/28,,@,,36.25345556 ,139.53140556 ,,,36 ,15 ,12.44 ,139 ,31 ,53.06 
56,78,櫻樹移植の碑,碑,明治2年,1869,代官町,,邑楽護国神社境内,,,①,2020/11/28,,@,,36.25375000 ,139.53168333 ,,,36 ,15 ,13.50 ,139 ,31 ,54.06 
57,79,官祭招魂社石標,標石,大正3年,1914,代官町,,邑楽護国神社境内,,,①,2020/11/28,,@,,36.25371389 ,139.53178056 ,,,36 ,15 ,13.37 ,139 ,31 ,54.41 
65,80,芭蕉句碑,碑,,,代官町,,大川いく氏宅地内,,,①,,@,,,0.00000000 ,0.00000000 ,,,,,,,,
58,81,つつじ分植の碑,碑,明治19年,1886,代官町,,長良神社,,,①,2020/11/28,,@,,36.25417222 ,139.53235556 ,,,36 ,15 ,15.02 ,139 ,31 ,56.48 
59,82,伊勢両宮太々神楽碑,碑,明治33年,1900,代官町,,長良神社,,,①,2020/11/28,,@,,36.25420556 ,139.53220278 ,,,36 ,15 ,15.14 ,139 ,31 ,55.93 
60,83,社殿改築記念碑,碑,昭和3年,1928,代官町,,長良神社,,,①,2020/11/28,,@,,36.25421667 ,139.53216944 ,,,36 ,15 ,15.18 ,139 ,31 ,55.81 
61,84,織物組合記念碑,碑,昭和5年,1930,代官町,,長良神社,,,①,2020/11/28,,@,,36.25418333 ,139.53231389 ,,,36 ,15 ,15.06 ,139 ,31 ,56.33 
62,85,織姫神社石鳥居記念碑,碑,昭和6年,1931,代官町,,長良神社,,,①,2020/11/28,,@,,36.25423889 ,139.53193056 ,,,36 ,15 ,15.26 ,139 ,31 ,54.95 
63,86,芳蓮・素外句碑,碑,明治29年,1896,代官町,,長良神社,,確認できず,①,2020/11/28,@,,,0.00000000 ,0.00000000 ,,,,,,,,
64,87,長良大明神標石,標石,天和2年,1682,代官町,,長良神社,,,①,2020/11/28,@,@,,36.25401111 ,139.53245556 ,,,36 ,15 ,14.44 ,139 ,31 ,56.84 
137,88,柱型猿田毘古,,明治11年,1878,西本町,,愛宕神社,柱型、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
145,89,青石地蔵板碑,,文永10年,1273,西本町,,愛宕神社,陰刻地蔵像,,②③⑧,,,,,0.00000000 ,0.00000000 ,"市史 特別編4
P.432 No,3","市誌 歴史編 P.955 No,1",,,,,,
46,90,征露祈願碑,碑,明治42年,1909,西本町,,愛宕神社境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
47,91,合祀記念之碑,碑,大正8年,1919,西本町,,愛宕神社境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
92,92,応声寺はしか地蔵尊（1）,立像,不明,,西本町,,応声寺,丸彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
93,93,応声寺はしか地蔵尊（2）,立像,不明,,西本町,,応声寺,丸彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
139,94,応声寺文字庚申塔,,昭和40年,1965,西本町,,応声寺,舟型、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
230,95,応声寺宝篋印塔（1）,,元禄5年,1692,西本町,,応声寺,塔身のみ,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
241,96,廊應名号塔,,貞享5年,1688,西本町,,応声寺,柱型、笠付き,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
243,97,覚阿名号塔,,元禄7年,1694,西本町,,応声寺,柱型、笠付き,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
253,98,応声寺疱瘡神,,天明2年,1782,西本町,,応声寺,石祠型,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
259,99,応声寺山王權現,,不明,,西本町,,応声寺,丸彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
44,100,鐘楼堂石垣再建碑,碑,大正13年,1924,西本町,,応声寺境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
45,101,筆塚碑,碑,大正13年,1924,西本町,,応声寺境内,,,①,,@,,,0.00000000 ,0.00000000 ,,,,,,,,
95,102,生型馬頭尊,,宝暦7年,1757,西本町,,法泉寺,舟型背面、像浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
98,103,左山馬頭尊,,嘉永5年,1852,西本町,,法泉寺,駒型、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
213,104,法泉寺宝篋印塔（1）,,寛永10年,1633,西本町,,法泉寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
214,105,法泉寺宝篋印塔（2）,,寛永11年,1634,西本町,,法泉寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
215,106,法泉寺宝篋印塔（3）,,寛永12年,1635,西本町,,法泉寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
216,107,法泉寺宝篋印塔（4）,,寛永12年,1635,西本町,,法泉寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
217,108,法泉寺宝篋印塔（5）,,寛永16年,1638,西本町,,法泉寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
218,109,法泉寺宝篋印塔（6）,,寛永16年,1639,西本町,,法泉寺,塔身のみ,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
219,110,法泉寺宝篋印塔（7）,,不明,,西本町,,法泉寺,塔身 1個　笠 1個　相輪 5個,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
251,111,宝暦六十六部供養塔,,宝暦10年,1760,西本町,,法泉寺,駒型,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1451,112,阿弥陀如来種子板碑,,貞和年間,1345～1350,西本町,,法泉寺,種子 キリーク,,②⑧,,,,,0.00000000 ,0.00000000 ,"市誌 歴史編 P.957 No,56",,,,,,,
1480,113,阿弥陀如来種子板碑,,応永4年,1397,西本町,,法泉寺,種子 キリーク,,②,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1488,114,大日如来種子板碑,,長禄5年,1461,西本町,,法泉寺,種子 バン,,②⑧,,,,,0.00000000 ,0.00000000 ,"市誌 歴史編 P.958 No,93",,,,,,,
1491,115,大日如来種子板碑,,文明10年,1478,西本町,,法泉寺,種子 バン,,②,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1508,116,阿弥陀如来種子板碑,,不明,,西本町,,法泉寺,種子 キリーク,,②⑧,,,,,0.00000000 ,0.00000000 ,"市誌 歴史編 P.957 No,77",,,,,,,
88,117,甲州地蔵尊,立像,文化13年,1816,本町一丁目,　,琴平神社,浮彫,　,③,2020/11/28,　,　,　,36.25030000 ,139.53520000 ,　,　,36,15,1.2,139,32,6.72
101,118,菅原馬頭尊,　,明治28年,1895,本町一丁目,　,琴平神社,厚碑型、文字,　,③,2020/11/28,　,　,　,36.25030000 ,139.53520000 ,　,　,36,15,1.2,139,32,6.72
252,119,安永回国供養塔,　,安永5年,1776,本町一丁目,　,琴平神社,柱型,　,③,　,　,　,　,0.00000000 ,0.00000000 ,　,　,　,　,　,　,　,　
20,120,琴平神社営築記念碑,碑,昭和3年,1928,本町一丁目,　,琴平神社境内,　,　,①,2020/11/28,　,　,　,36.25030000 ,139.53520000 ,　,　,36,15,1.2,139,32,6.72
141,121,青梅庚申塔,　,不明,　,本町二丁目,　,青梅天神,碑型、文字,　,③,2020/11/28,　,　,　,36.24650000 ,139.53240000 ,　,　,36,14,47.35,139,31,56.68
142,122,青梅自然石庚申塔,　,不明,　,本町二丁目,　,青梅天神,自然石、文字,　,③,2020/11/28,　,　,　,36.24650000 ,139.53240000 ,　,　,36,14,47.35,139,31,56.68
143,123,碑型三猿庚申塔,　,不明,　,本町二丁目,　,青梅天神,碑型、三猿浮彫,　,③,2020/11/28,　,　,　,36.24650000 ,139.53240000 ,　,　,36,14,47.35,139,31,56.68
144,124,後岡庚申塔,　,不明,　,本町二丁目,　,青梅天神,自然石、文字,　,③,2020/11/28,　,　,　,36.24650000 ,139.53240000 ,　,　,36,14,47.35,139,31,56.68
5,125,青梅天満宮標石,標石,寛文6年,1666,本町二丁目,　,青梅神社境内,　,　,①,2020/11/28,@,　,　,36.24630000 ,139.53320000 ,　,　,36,14,46.52,139,31,59.65
6,126,参宮記念碑,碑,昭和9年,1934,本町二丁目,　,青梅神社境内,　,　,①,2020/11/28,　,　,　,36.24650000 ,139.53250000 ,　,　,36,14,47.29,139,31,57.14
176,127,弥陀浮彫板碑,　,不明,　,本町二丁目,　,後藤 太嘉次,弥陀一尊陽刻,　,③,　,　,　,　,0.00000000 ,0.00000000 ,　,　,　,　,　,　,　,　
77,128,元禄地蔵尊,立像,元禄13年,1700,本町二丁目,　,大道寺,丸彫,　,③,2020/12/5,　,　,　,36.24660000 ,139.53130000 ,　,　,36,14,47.6,139,31,52.85
81,129,伊右衛門地蔵尊,座像,享保6年,1721,本町二丁目,　,大道寺,丸彫,　,③,2020/12/5,　,　,　,36.24640000 ,139.53150000 ,　,　,36,14,47.07,139,31,53.53
83,130,大道寺寛延仏地蔵尊,立像,寛延4年,1751,本町二丁目,　,大道寺,丸彫,　,③,2020/12/5,　,　,　,36.24620000 ,139.53150000 ,　,　,36,14,46.21,139,31,53.41
84,131,大道寺寛延地蔵尊,立像,寛延4年,1751,本町二丁目,　,大道寺,丸彫,　,③,2020/12/5,　,　,　,36.24620000 ,139.53150000 ,　,　,36,14,46.21,139,31,53.41
102,132,喜市馬頭尊,　,明治28年,1895,本町二丁目,　,大道寺,自然石、文字,　,③,2020/12/5,　,　,　,36.24640000 ,139.53150000 ,　,　,36,14,47.07,139,31,53.53
123,133,天和庚申塔,　,天和2年,1682,本町二丁目,　,大道寺,舟型背面、像浮彫,　,③,2020/12/5,　,　,　,36.24620000 ,139.53150000 ,　,　,36,14,46.21,139,31,53.41
124,134,貞享庚申塔,　,貞享3年,1686,本町二丁目,　,大道寺,舟型背面、像浮彫,　,③,2020/12/5,　,　,　,36.24620000 ,139.53150000 ,　,　,36,14,46.21,139,31,53.41
138,135,柱型猿田彦大神,　,明治42年,1909,本町二丁目,　,大道寺,柱型、文字,　,③,　,　,　,　,0.00000000 ,0.00000000 ,　,　,　,　,　,　,　,　
203,136,大道寺宝篋印塔（1）,　,元和6年,1620,本町二丁目,　,大道寺,塔身のみ,　,③,2020/12/5,　,　,　,36.24650000 ,139.53160000 ,　,　,36,14,47.46,139,31,53.64
204,137,大道寺宝篋印塔（2）,,寛永10年,1633,本町二丁目,,大道寺,塔身のみ,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
205,138,大道寺宝篋印塔（3）,,寛永10年,1633,本町二丁目,,大道寺,塔身のみ,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
206,139,大道寺宝篋印塔（4）,,不明,,本町二丁目,,大道寺,笠 2個,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
207,140,大道寺宝篋印塔（5）,,不明,,本町二丁目,,大道寺,相輪 3個,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
261,141,大道寺名号塔,　,不明,　,本町二丁目,　,大道寺,自然石（間知石）,　,③,2020/12/5,　,　,　,36.24640000 ,139.53150000 ,　,　,36,14,47.07,139,31,53.53
154,142,正和五年弥陀真言板碑,　,正和5年,1316,本町二丁目,　,三森 洋三,種子 キリーク,　,②③,　,　,　,　,0.00000000 ,0.00000000 ,"市史 特別編4 P.438 No,35",　,　,　,　,　,　,　
165,143,応安五年真言板碑,　,応安5年,1372,本町二丁目,　,三森 洋三,光明真言,　,②③⑧,　,　,　,　,0.00000000 ,0.00000000 ,"市史 特別編4 P.452 No,106","市誌 歴史編 P.957 No,72",　,　,　,　,　,　
174,144,享徳四年大日一尊板碑,　,享徳4年,1455,本町二丁目,　,三森 洋三,種子 バン,　,②③⑧,　,　,　,　,0.00000000 ,0.00000000 ,"市史 特別編4 P.460 No,145","市誌 歴史編 P.958 No,92",　,　,　,　,　,　
237,145,竹生島神社入口道標,道標,明治12年,1879,本町三丁目,　,竹生島神社入口,碑型,No.1と同様,　,広報紙連載/2020/11/28,　,　,@,36.24500000 ,139.53910000 ,"市史 特別編4 P.489 No,1",　,36,14,41.88,139,32,20.82
1,146,竹生島神社道標,道標,明治12年,1879,本町三丁目,　,竹生島神社境内,　,No.237と同様,①②③,広報紙連載,　,　,@,0.00000000 ,0.00000000 ,"市史 特別編4 P.489 No,1",　,　,　,　,　,　,　
2,147,竹生島神社建営碑,碑,昭和61年,1986,本町三丁目,　,竹生島神社境内,　,　,①,2020/11/28,@,　,　,36.24520000 ,139.53810000 ,　,　,36,14,42.54,139,32,17.22
3,148,神社記念碑,碑,大正5年,1916,本町三丁目,　,竹生島神社境内,　,　,①,2020/11/28,　,　,　,36.24520000 ,139.53820000 ,　,　,36,14,42.58,139,32,17.42
4,149,城沼耕地整理記念碑,碑,昭和4年,1929,本町三丁目,　,竹生島神社境内,　,　,①,2020/11/28,@,　,　,36.24520000 ,139.53820000 ,　,　,36,14,42.57,139,32,17.59
99,150,下町馬頭尊,　,明治9年,1876,本町四丁目,　,館林信用金庫南支店前,自然石、文字,　,③,2020/11/28,　,　,　,36.24180000 ,139.53440000 ,　,　,36,14,30.39,139,32,3.76
125,151,龍泉寺元禄庚申塔,　,元禄元年,1688,本町四丁目,　,龍泉寺,柱型、像浮彫,　,③,2020/11/28,　,　,　,36.24210000 ,139.53150000 ,　,　,36,14,31.54,139,31,53.57
134,152,自然石庚申塔,　,寛政12年,1800,本町四丁目,　,龍泉寺,自然石、文字,　,③,2020/11/28,　,　,　,36.24210000 ,139.53150000 ,　,　,36,14,31.54,139,31,53.57
254,153,南無大師遍照金剛塔,　,文政8年,1825,本町四丁目,　,龍泉寺,柱型,　,③,　,　,　,　,0.00000000 ,0.00000000 ,　,　,　,　,　,　,　,　
136,154,天保庚申塔,　,天保10年,1839,本町四丁目,　,　,柱型、像浮彫,　,③,　,　,　,　,0.00000000 ,0.00000000 ,　,　,　,　,　,　,　,　
1584,155,毘沙門堂修理記念碑,　,明治41年,1908,本町四丁目,　,竜泉寺境内,　,　,①,2020/11/28,　,　,　,36.23360000 ,139.53160000 ,　,　,36,14,1,139,31,53.66
1585,156,凱旋紀念碑,　,明治32年,1899,本町四丁目,　,竜泉寺境内,　,　,①,2020/11/28,　,　,　,36.24190000 ,139.53160000 ,　,　,36,14,30.93,139,31,53.59
1586,157,当寺中興碑,　,昭和4年,1929,本町四丁目,　,竜泉寺境内,　,　,①,2020/11/28,　,　,　,36.24210000 ,139.53160000 ,　,　,36,14,31.49,139,31,53.88
79,158,常念丸彫り地蔵尊,立像,享保3年,1718,仲町,　,観性寺,丸彫,　,③,2020/11/28,　,　,　,36.24930000 ,139.52860000 ,　,　,36,14,57.39,139,31,43.06
105,159,観性寺如意輪塔,座像,明和4年,1767,仲町,　,観性寺,丸彫,　,③,　,　,　,　,0.00000000 ,0.00000000 ,　,　,　,　,　,　,　,　
108,160,観性寺二十三夜塔,　,天保14年,1843,仲町,　,観性寺,柱型,　,③,2020/11/28,　,　,　,36.24930000 ,139.52860000 ,　,　,36,14,57.39,139,31,43.06
118,161,延宝観性寺庚申塔,　,延宝5年,1677,仲町,　,観性寺,舟型背面、像浮彫,　,③,2020/11/28,　,　,　,36.24930000 ,139.52860000 ,　,　,36,14,57.39,139,31,43.06
128,162,宝永観性寺庚申塔,　,宝永元年,1704,仲町,　,観性寺,舟型背面、像浮彫,　,③,2020/11/28,　,　,　,36.24930000 ,139.52860000 ,　,　,36,14,57.39,139,31,43.06
